,洲名,國家,日期,總確診數,新增確診數
85971,亞洲,日本,2021-01-01,239005,3256
85972,亞洲,日本,2021-01-02,242076,3071
85973,亞洲,日本,2021-01-03,245242,3166
85974,亞洲,日本,2021-01-04,248585,3343
85975,亞洲,日本,2021-01-05,253534,4949
85976,亞洲,日本,2021-01-06,259583,6049
85977,亞洲,日本,2021-01-07,267225,7642
85978,亞洲,日本,2021-01-08,275182,7957
85979,亞洲,日本,2021-01-09,283036,7854
85980,亞洲,日本,2021-01-10,289144,6108
85981,亞洲,日本,2021-01-11,294050,4906
85982,亞洲,日本,2021-01-12,298647,4597
85983,亞洲,日本,2021-01-13,304564,5917
85984,亞洲,日本,2021-01-14,311220,6656
85985,亞洲,日本,2021-01-15,318393,7173
85986,亞洲,日本,2021-01-16,325435,7042
85987,亞洲,日本,2021-01-17,331195,5760
85988,亞洲,日本,2021-01-18,336132,4937
85989,亞洲,日本,2021-01-19,341467,5335
85990,亞洲,日本,2021-01-20,347029,5562
85991,亞洲,日本,2021-01-21,352693,5664
85992,亞洲,日本,2021-01-22,357750,5057
85993,亞洲,日本,2021-01-23,362476,4726
85994,亞洲,日本,2021-01-24,366466,3990
85995,亞洲,日本,2021-01-25,369229,2763
85996,亞洲,日本,2021-01-26,373082,3853
85997,亞洲,日本,2021-01-27,377056,3974
85998,亞洲,日本,2021-01-28,381187,4131
85999,亞洲,日本,2021-01-29,384725,3538
86000,亞洲,日本,2021-01-30,388067,3342
86001,亞洲,日本,2021-01-31,390740,2673
86002,亞洲,日本,2021-02-01,392533,1793
86003,亞洲,日本,2021-02-02,394857,2324
86004,亞洲,日本,2021-02-03,397491,2634
86005,亞洲,日本,2021-02-04,400069,2578
86006,亞洲,日本,2021-02-05,402439,2370
86007,亞洲,日本,2021-02-06,404716,2277
86008,亞洲,日本,2021-02-07,406346,1630
86009,亞洲,日本,2021-02-08,407563,1217
86010,亞洲,日本,2021-02-09,409131,1568
86011,亞洲,日本,2021-02-10,411017,1886
86012,亞洲,日本,2021-02-11,412707,1690
86013,亞洲,日本,2021-02-12,414007,1300
86014,亞洲,日本,2021-02-13,415367,1360
86015,亞洲,日本,2021-02-14,416729,1362
86016,亞洲,日本,2021-02-15,417694,965
86017,亞洲,日本,2021-02-16,419002,1308
86018,亞洲,日本,2021-02-17,420450,1448
86019,亞洲,日本,2021-02-18,421986,1536
86020,亞洲,日本,2021-02-19,423287,1301
86021,亞洲,日本,2021-02-20,424520,1233
86022,亞洲,日本,2021-02-21,425552,1032
86023,亞洲,日本,2021-02-22,426292,740
86024,亞洲,日本,2021-02-23,427373,1081
86025,亞洲,日本,2021-02-24,428294,921
86026,亞洲,日本,2021-02-25,429370,1076
86027,亞洲,日本,2021-02-26,430424,1054
86028,亞洲,日本,2021-02-27,431637,1213
86029,亞洲,日本,2021-02-28,432636,999
86030,亞洲,日本,2021-03-01,433334,698
86031,亞洲,日本,2021-03-02,434222,888
86032,亞洲,日本,2021-03-03,435465,1243
86033,亞洲,日本,2021-03-04,436634,1169
86034,亞洲,日本,2021-03-05,437782,1148
86035,亞洲,日本,2021-03-06,438825,1043
86036,亞洲,日本,2021-03-07,439896,1071
86037,亞洲,日本,2021-03-08,440496,600
86038,亞洲,日本,2021-03-09,441623,1127
86039,亞洲,日本,2021-03-10,442936,1313
86040,亞洲,日本,2021-03-11,444253,1317
86041,亞洲,日本,2021-03-12,445524,1271
86042,亞洲,日本,2021-03-13,446843,1319
86043,亞洲,日本,2021-03-14,447830,987
86044,亞洲,日本,2021-03-15,448525,695
86045,亞洲,日本,2021-03-16,449658,1133
86046,亞洲,日本,2021-03-17,451191,1533
86047,亞洲,日本,2021-03-18,452688,1497
86048,亞洲,日本,2021-03-19,454151,1463
86049,亞洲,日本,2021-03-20,455667,1516
86050,亞洲,日本,2021-03-21,456785,1118
86051,亞洲,日本,2021-03-22,457601,816
86052,亞洲,日本,2021-03-23,459101,1500
86053,亞洲,日本,2021-03-24,461018,1917
86054,亞洲,日本,2021-03-25,462933,1915
86055,亞洲,日本,2021-03-26,464958,2025
86056,亞洲,日本,2021-03-27,467029,2071
